setup_id,symbol,timestamp,squeeze_score,conditions,adx,h4_trend_bias,d1_trend_bias,h4_bar_time,d1_bar_time,data_warning,anchor_range_pct,cluster_id
EURUSD_setup_000001_202506090200,EURUSD,2025-06-09 02:00:00,2,SR+ADX<20,19.386858718044262,neutral,bullish,2025-06-09 00:00:00,2025-06-09,,0.6210146450844405,EURUSD_20250609_02
EURUSD_setup_000002_202506090900,EURUSD,2025-06-09 09:00:00,2,SR+ADX<20,18.19114602470424,neutral,bullish,2025-06-09 08:00:00,2025-06-09,,0.5653871063733071,EURUSD_20250609_09
EURUSD_setup_000003_202506091500,EURUSD,2025-06-09 15:00:00,3,BB+SR+ADX<20,15.945369124894249,neutral,bullish,2025-06-09 12:00:00,2025-06-09,,0.45956284631342864,EURUSD_20250609_15
EURUSD_setup_000004_202506092100,EURUSD,2025-06-09 21:00:00,4,BB+SR+ADX<20+ADX<13,12.256115976479704,neutral,bullish,2025-06-09 20:00:00,2025-06-09,,0.45970368813701595,EURUSD_20250609_21
EURUSD_setup_000005_202506100500,EURUSD,2025-06-10 05:00:00,2,SR+ADX<20,13.004146764057213,neutral,bullish,2025-06-10 04:00:00,2025-06-10,,0.46383978675645493,EURUSD_20250610_05
EURUSD_setup_000006_202506101100,EURUSD,2025-06-10 11:00:00,2,ADX<20+ADX<13,12.067877947539777,neutral,bullish,2025-06-10 08:00:00,2025-06-10,,0.5486140277194455,EURUSD_20250610_11
EURUSD_setup_000007_202506101700,EURUSD,2025-06-10 17:00:00,2,ADX<20+ADX<13,11.345646039725912,neutral,bullish,2025-06-10 16:00:00,2025-06-10,,0.6548478879404818,EURUSD_20250610_17
EURUSD_setup_000008_202506110200,EURUSD,2025-06-11 02:00:00,2,BB+ADX<20,14.034167744497756,neutral,bullish,2025-06-11 00:00:00,2025-06-11,,0.6552724023442767,EURUSD_20250611_02
EURUSD_setup_000009_202506110800,EURUSD,2025-06-11 08:00:00,4,BB+SR+ADX<20+ADX<13,12.151313659095992,neutral,bullish,2025-06-11 08:00:00,2025-06-11,,0.370937404313024,EURUSD_20250611_08
EURUSD_setup_000010_202506160200,EURUSD,2025-06-16 02:00:00,2,ADX<20+ADX<13,12.623018704419161,bullish,bullish,2025-06-16 00:00:00,2025-06-16,,0.6990338415638894,EURUSD_20250616_02
EURUSD_setup_000011_202506170700,EURUSD,2025-06-17 07:00:00,2,ADX<20+ADX<13,12.95844598699375,bullish,bullish,2025-06-17 04:00:00,2025-06-17,,0.6229720960415205,EURUSD_20250617_07
EURUSD_setup_000012_202506171300,EURUSD,2025-06-17 13:00:00,4,BB+SR+ADX<20+ADX<13,10.443902161813329,neutral,bullish,2025-06-17 12:00:00,2025-06-17,,0.3659644417528188,EURUSD_20250617_13
EURUSD_setup_000013_202506181200,EURUSD,2025-06-18 12:00:00,2,BB+SR,22.30199236793203,neutral,bullish,2025-06-18 12:00:00,2025-06-18,,0.560591706719284,EURUSD_20250618_12
EURUSD_setup_000014_202506181800,EURUSD,2025-06-18 18:00:00,3,BB+SR+ADX<20,17.181410951182894,bearish,bullish,2025-06-18 16:00:00,2025-06-18,,0.48455270382151805,EURUSD_20250618_18
EURUSD_setup_000015_202506190000,EURUSD,2025-06-19 00:00:00,2,ADX<20+ADX<13,11.940185777790528,bearish,bullish,2025-06-19 00:00:00,2025-06-19,,0.6053690573663407,EURUSD_20250619_00
EURUSD_setup_000016_202506191200,EURUSD,2025-06-19 12:00:00,3,BB+ADX<20+ADX<13,12.352201207915861,bearish,bullish,2025-06-19 12:00:00,2025-06-19,,0.7249154846129616,EURUSD_20250619_12
EURUSD_setup_000017_202506191800,EURUSD,2025-06-19 18:00:00,4,BB+SR+ADX<20+ADX<13,12.540775256155616,bearish,bullish,2025-06-19 16:00:00,2025-06-19,,0.37266648091390897,EURUSD_20250619_18
EURUSD_setup_000018_202506201400,EURUSD,2025-06-20 14:00:00,2,BB+SR,22.820243354533808,neutral,bullish,2025-06-20 12:00:00,2025-06-20,,0.5020368102422561,EURUSD_20250620_14
EURUSD_setup_000019_202506202000,EURUSD,2025-06-20 20:00:00,3,BB+SR+ADX<20,17.653017995792325,neutral,bullish,2025-06-20 20:00:00,2025-06-20,,0.42268801805319883,EURUSD_20250620_20
EURUSD_setup_000020_202506241300,EURUSD,2025-06-24 13:00:00,2,BB+SR,28.77119613456568,bullish,bullish,2025-06-24 12:00:00,2025-06-24,,0.7056773380953487,EURUSD_20250624_13
EURUSD_setup_000021_202506250300,EURUSD,2025-06-25 03:00:00,2,BB+SR,30.48602407924326,bullish,bullish,2025-06-25 00:00:00,2025-06-25,,0.5339580067864326,EURUSD_20250625_03
EURUSD_setup_000022_202506250900,EURUSD,2025-06-25 09:00:00,2,BB+SR,23.97963078708251,bullish,bullish,2025-06-25 08:00:00,2025-06-25,,0.5137753870556158,EURUSD_20250625_09
EURUSD_setup_000023_202506251500,EURUSD,2025-06-25 15:00:00,3,BB+SR+ADX<20,19.575318252535055,bullish,bullish,2025-06-25 12:00:00,2025-06-25,,0.36060381775306094,EURUSD_20250625_15
EURUSD_setup_000024_202506301400,EURUSD,2025-06-30 14:00:00,2,BB+SR,21.66327384757492,bullish,bullish,2025-06-30 12:00:00,2025-06-30,,0.5375565456667334,EURUSD_20250630_14
EURUSD_setup_000025_202507020600,EURUSD,2025-07-02 06:00:00,2,SR+ADX<20,19.512527564366273,bullish,bullish,2025-07-02 04:00:00,2025-07-02,,0.5271154646000651,EURUSD_20250702_06
EURUSD_setup_000026_202507022100,EURUSD,2025-07-02 21:00:00,2,SR+ADX<20,17.106313495589276,bullish,bullish,2025-07-02 20:00:00,2025-07-02,,0.5349769815767864,EURUSD_20250702_21
EURUSD_setup_000027_202507030600,EURUSD,2025-07-03 06:00:00,2,ADX<20+ADX<13,12.816124578621466,bullish,bullish,2025-07-03 04:00:00,2025-07-03,,0.5355069946364656,EURUSD_20250703_06
EURUSD_setup_000028_202507040800,EURUSD,2025-07-04 08:00:00,2,BB+SR,21.07083271756842,neutral,bullish,2025-07-04 08:00:00,2025-07-04,,0.6140596733508352,EURUSD_20250704_08
EURUSD_setup_000029_202507041400,EURUSD,2025-07-04 14:00:00,3,BB+SR+ADX<20,17.383622316753346,neutral,bullish,2025-07-04 12:00:00,2025-07-04,,0.3489527173313232,EURUSD_20250704_14
EURUSD_setup_000030_202507042000,EURUSD,2025-07-04 20:00:00,4,BB+SR+ADX<20+ADX<13,12.03504256504688,neutral,bullish,2025-07-04 20:00:00,2025-07-04,,0.26759773688770966,EURUSD_20250704_20
EURUSD_setup_000031_202507070200,EURUSD,2025-07-07 02:00:00,4,BB+SR+ADX<20+ADX<13,10.619257239032807,neutral,bullish,2025-07-07 00:00:00,2025-07-07,,0.22520417095119608,EURUSD_20250707_02
EURUSD_setup_000032_202507090600,EURUSD,2025-07-09 06:00:00,2,BB+SR,20.480791560420425,bearish,bullish,2025-07-09 04:00:00,2025-07-09,,0.5108524156752327,EURUSD_20250709_06
EURUSD_setup_000033_202507091200,EURUSD,2025-07-09 12:00:00,2,BB+SR,20.854391218918288,bearish,bullish,2025-07-09 12:00:00,2025-07-09,,0.3431498079385518,EURUSD_20250709_12
EURUSD_setup_000034_202507091800,EURUSD,2025-07-09 18:00:00,3,BB+SR+ADX<20,16.31012291699846,bearish,bullish,2025-07-09 16:00:00,2025-07-09,,0.33979339195766195,EURUSD_20250709_18
EURUSD_setup_000035_202507100800,EURUSD,2025-07-10 08:00:00,2,SR+ADX<20,19.178348335758177,bearish,bullish,2025-07-10 08:00:00,2025-07-10,,0.4996844995480649,EURUSD_20250710_08
EURUSD_setup_000036_202507110800,EURUSD,2025-07-11 08:00:00,2,BB+SR,33.836792012425605,bearish,bullish,2025-07-11 08:00:00,2025-07-11,,0.4459929120512196,EURUSD_20250711_08
EURUSD_setup_000037_202507111400,EURUSD,2025-07-11 14:00:00,2,BB+SR,25.70568585319799,bearish,bullish,2025-07-11 12:00:00,2025-07-11,,0.42252196002291753,EURUSD_20250711_14
EURUSD_setup_000038_202507112000,EURUSD,2025-07-11 20:00:00,3,BB+SR+ADX<20,17.882826821317085,bearish,bullish,2025-07-11 20:00:00,2025-07-11,,0.42268826312771735,EURUSD_20250711_20
EURUSD_setup_000039_202507140200,EURUSD,2025-07-14 02:00:00,3,BB+SR+ADX<20,15.644034842778268,bearish,bullish,2025-07-14 00:00:00,2025-07-14,,0.45913603618266347,EURUSD_20250714_02
EURUSD_setup_000040_202507140800,EURUSD,2025-07-14 08:00:00,2,BB+ADX<20,14.84026253014897,bearish,bullish,2025-07-14 08:00:00,2025-07-14,,0.5110382551082452,EURUSD_20250714_08
EURUSD_setup_000041_202507141400,EURUSD,2025-07-14 14:00:00,4,BB+SR+ADX<20+ADX<13,10.87474526760529,neutral,bullish,2025-07-14 12:00:00,2025-07-14,,0.3723326856741854,EURUSD_20250714_14
EURUSD_setup_000042_202507142000,EURUSD,2025-07-14 20:00:00,4,BB+SR+ADX<20+ADX<13,12.299752339369531,bearish,bullish,2025-07-14 20:00:00,2025-07-14,,0.372951979217579,EURUSD_20250714_20
EURUSD_setup_000043_202507150200,EURUSD,2025-07-15 02:00:00,4,BB+SR+ADX<20+ADX<13,11.78814836408869,bearish,bullish,2025-07-15 00:00:00,2025-07-15,,0.3657669541977536,EURUSD_20250715_02
EURUSD_setup_000044_202507150800,EURUSD,2025-07-15 08:00:00,4,BB+SR+ADX<20+ADX<13,12.585475048155455,bearish,bullish,2025-07-15 08:00:00,2025-07-15,,0.3200191669233731,EURUSD_20250715_08
EURUSD_setup_000045_202507160900,EURUSD,2025-07-16 09:00:00,2,BB+SR,21.446053877066163,bearish,bullish,2025-07-16 08:00:00,2025-07-16,,0.7429855449278034,EURUSD_20250716_09
EURUSD_setup_000046_202507211000,EURUSD,2025-07-21 10:00:00,2,BB+SR,21.633166621014848,bullish,neutral,2025-07-21 08:00:00,2025-07-21,,0.4937699118083934,EURUSD_20250721_10
EURUSD_setup_000047_202507220900,EURUSD,2025-07-22 09:00:00,2,BB+SR,37.47978358769274,bullish,neutral,2025-07-22 08:00:00,2025-07-22,,0.5031994600644122,EURUSD_20250722_09
EURUSD_setup_000048_202507231000,EURUSD,2025-07-23 10:00:00,2,BB+SR,27.766905199201496,bullish,neutral,2025-07-23 08:00:00,2025-07-23,,0.5935679746198588,EURUSD_20250723_10
EURUSD_setup_000049_202507231600,EURUSD,2025-07-23 16:00:00,2,BB+SR,22.715131137097366,bullish,neutral,2025-07-23 16:00:00,2025-07-23,,0.4033767913673934,EURUSD_20250723_16
EURUSD_setup_000050_202507241100,EURUSD,2025-07-24 11:00:00,2,BB+SR,22.474730897263445,bullish,neutral,2025-07-24 08:00:00,2025-07-24,,0.49593807154098096,EURUSD_20250724_11
EURUSD_setup_000051_202507241700,EURUSD,2025-07-24 17:00:00,2,BB+ADX<20,17.53664650912321,bullish,neutral,2025-07-24 16:00:00,2025-07-24,,0.4953439369222405,EURUSD_20250724_17
EURUSD_setup_000052_202507242300,EURUSD,2025-07-24 23:00:00,2,BB+ADX<20,15.618717700559346,bullish,neutral,2025-07-24 20:00:00,2025-07-24,,0.4959844824065883,EURUSD_20250724_23
EURUSD_setup_000053_202507250800,EURUSD,2025-07-25 08:00:00,2,BB+ADX<20,14.768677637445641,neutral,neutral,2025-07-25 08:00:00,2025-07-25,,0.49647020752965637,EURUSD_20250725_08
EURUSD_setup_000054_202507301000,EURUSD,2025-07-30 10:00:00,2,BB+SR,25.703103062301267,bearish,bearish,2025-07-30 08:00:00,2025-07-30,,0.4428421627336576,EURUSD_20250730_10
EURUSD_setup_000055_202508010700,EURUSD,2025-08-01 07:00:00,2,BB+SR,21.330272628972285,bearish,bearish,2025-08-01 04:00:00,2025-08-01,,0.40285148792320746,EURUSD_20250801_07
EURUSD_setup_000056_202508041500,EURUSD,2025-08-04 15:00:00,2,BB+SR,21.349639770925165,neutral,bearish,2025-08-04 12:00:00,2025-08-04,,0.6328512021579182,EURUSD_20250804_15
EURUSD_setup_000057_202508042100,EURUSD,2025-08-04 21:00:00,3,BB+SR+ADX<20,14.701138993900562,bullish,bearish,2025-08-04 20:00:00,2025-08-04,,0.33541092160200936,EURUSD_20250804_21
EURUSD_setup_000058_202508050300,EURUSD,2025-08-05 03:00:00,3,BB+SR+ADX<20,13.086412879805463,bullish,bearish,2025-08-05 00:00:00,2025-08-05,,0.3357853742968311,EURUSD_20250805_03
EURUSD_setup_000059_202508060800,EURUSD,2025-08-06 08:00:00,2,BB+ADX<20,15.456762746722482,bullish,bearish,2025-08-06 08:00:00,2025-08-06,,0.5002289476185094,EURUSD_20250806_08
EURUSD_setup_000060_202508081500,EURUSD,2025-08-08 15:00:00,2,SR+ADX<20,16.517170245846422,bullish,neutral,2025-08-08 12:00:00,2025-08-08,,0.5163215945931965,EURUSD_20250808_15
EURUSD_setup_000061_202508102100,EURUSD,2025-08-10 21:00:00,3,BB+SR+ADX<20,13.524836104740762,bullish,neutral,2025-08-10 20:00:00,2025-08-10,,0.38727737990964606,EURUSD_20250810_21
EURUSD_setup_000062_202508110300,EURUSD,2025-08-11 03:00:00,3,BB+SR+ADX<20,13.04766435765965,bullish,neutral,2025-08-11 00:00:00,2025-08-11,,0.34016228397122816,EURUSD_20250811_03
EURUSD_setup_000063_202508110900,EURUSD,2025-08-11 09:00:00,3,BB+SR+ADX<20,14.234689627003098,bullish,neutral,2025-08-11 08:00:00,2025-08-11,,0.3350256423472424,EURUSD_20250811_09
EURUSD_setup_000064_202508120700,EURUSD,2025-08-12 07:00:00,2,BB+SR,25.771940511366957,bearish,neutral,2025-08-12 04:00:00,2025-08-12,,0.49053356282272276,EURUSD_20250812_07
EURUSD_setup_000065_202508140100,EURUSD,2025-08-14 01:00:00,2,BB+SR,27.692228716198443,bullish,neutral,2025-08-14 00:00:00,2025-08-14,,0.45848452508003196,EURUSD_20250814_01
EURUSD_setup_000066_202508140700,EURUSD,2025-08-14 07:00:00,2,BB+SR,22.008164724866752,bullish,neutral,2025-08-14 04:00:00,2025-08-14,,0.3304935998972537,EURUSD_20250814_07
EURUSD_setup_000067_202508180200,EURUSD,2025-08-18 02:00:00,2,BB+SR,35.35458958970591,bullish,bearish,2025-08-18 00:00:00,2025-08-18,,0.4281721918826722,EURUSD_20250818_02
EURUSD_setup_000068_202508180800,EURUSD,2025-08-18 08:00:00,2,BB+SR,29.399624917384127,neutral,bearish,2025-08-18 08:00:00,2025-08-18,,0.3586868124812666,EURUSD_20250818_08
EURUSD_setup_000069_202508190300,EURUSD,2025-08-19 03:00:00,2,BB+SR,34.841134397894855,bearish,bearish,2025-08-19 00:00:00,2025-08-19,,0.5525667756355805,EURUSD_20250819_03
EURUSD_setup_000070_202508190900,EURUSD,2025-08-19 09:00:00,2,BB+SR,26.8327155150515,neutral,bearish,2025-08-19 08:00:00,2025-08-19,,0.389558129778513,EURUSD_20250819_09
EURUSD_setup_000071_202508201000,EURUSD,2025-08-20 10:00:00,2,BB+SR,31.563095193392567,neutral,bearish,2025-08-20 08:00:00,2025-08-20,,0.4756753043806672,EURUSD_20250820_10
EURUSD_setup_000072_202508202000,EURUSD,2025-08-20 20:00:00,2,SR+ADX<20,19.958137911872168,bearish,bearish,2025-08-20 20:00:00,2025-08-20,,0.4411827818548494,EURUSD_20250820_20
EURUSD_setup_000073_202508210200,EURUSD,2025-08-21 02:00:00,3,BB+SR+ADX<20,15.354188165417003,bearish,neutral,2025-08-21 00:00:00,2025-08-21,,0.4336141092020641,EURUSD_20250821_02
EURUSD_setup_000074_202508210800,EURUSD,2025-08-21 08:00:00,3,BB+SR+ADX<20,15.409796550761511,bearish,neutral,2025-08-21 08:00:00,2025-08-21,,0.41786434424470625,EURUSD_20250821_08
EURUSD_setup_000075_202508220900,EURUSD,2025-08-22 09:00:00,2,BB+SR,36.06363994097066,bearish,bullish,2025-08-22 08:00:00,2025-08-22,,0.5777804606721163,EURUSD_20250822_09
